Region_Colegio,Agno,Nota_Promedio,Asistencia_Promedio,Nota_Mujeres,Nota_Hombres
Arica y Parinacota,2013,5.807498144,92.13659985,5.507943578,5.422271715
Tarapaca,2013,5.69214982,90.82555156,5.48337609,5.393637763
Antofagasta,2013,5.663592526,90.57594937,5.514978903,5.399156118
Atacama,2013,5.637486574,88.43233083,5.476154672,5.263802363
Coquimbo,2013,5.691559244,92.11001236,5.265830832,5.168320678
Valparaiso,2013,5.655961487,91.02861514,5.438540448,5.274318366
Gral Bernardo OHiggins,2013,5.660871027,92.40423743,5.418496721,5.242105263
Maule,2013,5.681918868,92.61235655,5.391686683,5.235521751
Biobio,2013,5.703440677,92.19620388,5.418959266,5.244110329
Araucania,2013,5.672950386,93.30117423,5.202147466,5.165830953
Los Rios,2013,5.74685526,92.87640758,5.133644603,5.122356495
Los Lagos,2013,5.692353168,91.03727027,5.176236988,5.11597481
Aysen,2013,5.673489519,91.01479655,5.494451295,5.385696671
Magallanes,2013,5.819512195,89.72865854,5.253861789,5.314430894
Metropolitana,2013,5.610904226,89.77204817,5.338886721,5.129314862
Arica y Parinacota,2014,5.826908821,92.02001483,5.580874722,5.454633062
Tarapaca,2014,5.746788991,90.13251784,5.570744139,5.436085627
Antofagasta,2014,5.720768772,91.05631704,5.580184744,5.434922527
Atacama,2014,5.705111474,88.95758564,5.557803154,5.308102229
Coquimbo,2014,5.7206562,92.32898218,5.307338155,5.174528135
Valparaiso,2014,5.674541202,91.0172724,5.494764304,5.306801008
Gral Bernardo OHiggins,2014,5.695644162,92.70715363,5.487719886,5.270681856
Maule,2014,5.716626409,92.85426731,5.428529254,5.281011809
Biobio,2014,5.73435879,92.20886167,5.468595101,5.287817003
Araucania,2014,5.70248407,93.55211146,5.272945242,5.19107895
Los Rios,2014,5.773456273,93.0511316,5.183012015,5.142889075
Los Lagos,2014,5.719662118,91.12215724,5.222118259,5.142261209
Aysen,2014,5.716666667,90.91846523,5.475779376,5.417146283
Magallanes,2014,5.846439318,89.30892678,5.299799398,5.315847543
Metropolitana,2014,5.640573106,90.06773833,5.382728543,5.168817445
Arica y Parinacota,2015,5.851371386,91.92068199,5.579911045,5.534914752
Tarapaca,2015,5.747091837,90.75714286,5.571071429,5.465867347
Antofagasta,2015,5.731024275,90.98519834,5.616844287,5.429277679
Atacama,2015,5.764809855,89.15586502,5.634065345,5.382110337
Coquimbo,2015,5.73235397,91.94945785,5.342812172,5.186026583
Valparaiso,2015,5.6967947,90.7423225,5.528032948,5.347721372
Gral Bernardo OHiggins,2015,5.723328306,92.67839785,5.519574325,5.331456343
Maule,2015,5.729568954,92.49778434,5.462132402,5.294561568
Biobio,2015,5.768168385,92.29834931,5.511316947,5.320918331
Araucania,2015,5.72289893,93.52870552,5.327996071,5.211591356
Los Rios,2015,5.795259594,93.12217833,5.20744921,5.189588036
Los Lagos,2015,5.744133491,91.25581395,5.264196558,5.164695835
Aysen,2015,5.729334917,90.46555819,5.524228029,5.393824228
Magallanes,2015,5.845034415,89.26745329,5.2906588,5.325762045
Metropolitana,2015,5.669145875,89.90363499,5.425579056,5.208798301
Arica y Parinacota,2016,5.882624633,92.15982405,5.590982405,5.547434018
Tarapaca,2016,5.785484681,90.93269714,5.615519839,5.516373682
Antofagasta,2016,5.760111209,91.32426105,5.645185836,5.479836114
Atacama,2016,5.774309979,89.39225053,5.610721868,5.427600849
Coquimbo,2016,5.755326162,92.34316447,5.36500694,5.233292852
Valparaiso,2016,5.722601945,91.17007228,5.564156331,5.365958776
Gral Bernardo OHiggins,2016,5.743938636,93.06653327,5.548941137,5.347773887
Maule,2016,5.75837925,93.06437307,5.504757425,5.331272678
Biobio,2016,5.800867115,92.48825782,5.545675266,5.350950213
Araucania,2016,5.751431078,93.72628578,5.359217019,5.256837373
Los Rios,2016,5.822152261,93.22953635,5.264138523,5.253205495
Los Lagos,2016,5.769653714,91.67446471,5.303621464,5.187139836
Aysen,2016,5.777176471,91.04,5.594470588,5.439058824
Magallanes,2016,5.85200391,90.14173998,5.331378299,5.319745846
Metropolitana,2016,5.696767211,90.48008321,5.46689343,5.24253788
Arica y Parinacota,2017,5.888799414,91.98901903,5.627598829,5.576720351
Tarapaca,2017,5.831302211,90.96953317,5.647223587,5.559410319
Antofagasta,2017,5.810196418,91.22068169,5.688214905,5.541247834
Atacama,2017,5.808928571,89.2657563,5.65105042,5.459453782
Coquimbo,2017,5.774124914,92.16660947,5.381022649,5.265425532
Valparaiso,2017,5.756210601,90.9695463,5.622098908,5.413202522
Gral Bernardo OHiggins,2017,5.761353785,92.79493164,5.577259086,5.355435145
Maule,2017,5.790187357,92.84324033,5.567354091,5.373594824
Biobio,2017,5.825155684,92.26799421,5.590123099,5.397921796
Araucania,2017,5.777809576,93.64380848,5.392735278,5.340055036
Los Rios,2017,5.841965812,93.11082621,5.339287749,5.28951567
Los Lagos,2017,5.793790719,91.58050791,5.361866773,5.257253025
Aysen,2017,5.792087156,90.30619266,5.674885321,5.453211009
Magallanes,2017,5.870845481,90.26822157,5.324586978,5.361516035
Metropolitana,2017,5.724591085,90.57115958,5.511165758,5.28690068